title;album;release year;additional info;lyrics
Grand Pappy Du Plenty;The Red Hot Chili Peppers;1984;Instrumental;error
What It Is (Nina's Song);The Red Hot Chili Peppers;1984;Bonus Track;"Give it up to this time full of strife
Get down, you might be fucking with the song of life
Extend your deeper senses, there will be no fight
At the never-ending ocean of perfect insights
Around your molecule beam with a halo of light
The animated aura will give delight
Soon, your every single worry will be out of sight
With the power of it, we are about to astound
All your preconceptions, they will come unbound
""Listen very close,"" my inner voice expounds
""We are the human race, and we groove to the sound""
Yes, we deliver the truth to our musical birth
A soul-shocking sound with electrify the earth
People have to know that it's not about money
Cash is not the way to make your life sunny
There is no need if you got the soul seed
Love, life, and peace, it can only begin
When you know in your heart that the change is within
Love all your brothers and love all your sisters
Love all the missus and love all the misses
And don't be shy when you're sharing your kisses
Greed, jealousy gets boos and hisses
What it is, what it is, so much to be found
What it is, what it is, groove down to the sounds
What it is, what it is, what it is in a song
What it is, what it is, you can do no wrong
Balance your life with the right kind of foods
To eat a sad cow, is to eat another you
Well, that's an unfair rap, it's unforgivably rude
It'll put your karma in the worst of moods
Someone drinkin' booze and taking too many ludes
'Cause when you cop, don't you cop an attitude
And that's an ugly thing, it's not the real you
So please, y'all, take some sound advice
Be yourself, clear your mind, make a sacrifice
The always sober you is especially nice
Don't loot, don't shout, give comet the boot
I love it kickin' back and playin' my bamboo flute
Refuse to fight wars for political whores
Unsurpassed peace lines the salt water shores
It is my notion that the perfect peace potion
Can be found in the wake of the green sea ocean
Long rocky swells of the mighty blue ocean
Is the cradle of peace, it's the perfect peace potion
There you will find it, with sweet sea creatures
The smile of a dolphin is a built-in feature
We will learn much peace with the whale as your teacher
""Good morning class, how very nice to meet you.""
What it is, what it is, so much to be found
What it is, what it is, groove down to the sounds
What it is, what it is, what it is in a song
What it is, what it is, you can do no wrong
Open up your hearts to the planets, to the stars
With your spirit take, a trip from Venus to Mars
You know, Einstein did while Hitler hid
Now Albert lives forever in every single kid
But, with Adolf Hitler, we are permanently rid
Picasso, Mister Dali, and my man, Jimi Hendrix
These cool brothers make the world go 'round
Yeah, they do it with art, and Jimi did it with sound
But, by all these men, it was found
Each and every person can be just as renowned
Don't let the world's racist creeds give your pretty face a frown
Stand up for equal rights, I mean buckle down
Go spread the word from town to town
We are the human race and we groove to the sounds
(Red hot
Red hot, red hot, red hot, red hot)
Now that you've heard what it is in a song
From here on in, you can do no wrong
"
Jungle Man;Freaky Styley;1985;;"Deep inside the soul hole of a-Mother Earth
Father Time came with a supersonic, supersonic burst
His soul monkey sperm tribes racing to be first
Her ruby fruit jungle givin' bush, baby, bush-baby birth
The baby was a boy, but I think what stunned her
Is that this bare-breasted baby was a baby boy, boy, boy, boy wonder
Crackin' from his thumb bone came thelonious thunder, yeah
Fill the sky with hellfire from way down, down, down under
I'm a jungle man
I'm a jungle man
I'm a jungle man
I get all the bush I can
I'm a jungle man
I'm a jungle man
I'm a jungle man
I get all the bush I can
Erupting from the ground in Hollywood, he glowed
His jungle turned to concrete, his funk bone, bone, bone, bone to stone
Like a full-blown volcano, I must let it be known
That through this boy's vein, atomic lava blood flows, and flows
His soul-shocking sounds, they make the mountains moan
This boy's become a man, it's time to
Take, take, take, take the throne
I'm a jungle man
I'm a jungle man
I'm a jungle man
I get all the bush I can
I'm a jungle man
I'm a jungle man
I'm a jungle man
I get all the bush I
I'm a jungle man
I'm a jungle man
I'm a jungle man
I get all the bush I can
I'm a jungle man
I'm a jungle man
I'm a jungle man
I get all the bush I
I'm a jungle man
I'm a jungle man
I'm a jungle man
I'm a jungle man
I'm a jungle man
I'm a jungle man
I'm a jungle man
I'm a jungle man
"
Hollywood (Africa);Freaky Styley;1985;;"Well all right, take me back, hold my hand
All the way back to the brotherland
Take me back, I want to go back, oh
Take me back with my funky ass band
All the way back to the brotherland
Take me back, let's go
I want to go as fast as I can
Slidin' on back to the brotherland
Now children, take me on back
Take me on back, take me on back
Take me on back (East L.A.)
Hollywood
I want to get up and go with my funky ass jams
All the way back to the brotherland
Take me back, take me back
I want to go back
Lord, Lord, Lord, Lord, Lord
Lord, Lord, Lord
Hollywood
Lord, Lord, Lord, Lord, Lord
Lord, Lord, Lord
Lord, Lord, Lord, Lord, Lord
Lord, Lord, Lord
Take me on back, take me on back
Lord, Lord, Lord, Lord, Lord
Lord, Lord, Lord
Take me on back, take me on back
Where the woman is the woman
And the man is the man
Hollywood
Hollywood
Hollywood
Hollywood
I want to go fast as I can
Slidin' on back to the brotherland
Now children
Lord, Lord, Lord, Lord, Lord
Lord, Lord, Lord
Lord, Lord, Lord, Lord, Lord
Lord, Lord, Lord
Lord, Lord, Lord, Lord, Lord
Lord, Lord, Lord
Lord, Lord, Lord, Lord, Lord
Lord, Lord, Lord
"
American Ghost Dance;Freaky Styley;1985;;"Oh give me a home where the buffalo roam
And the death of a race is a game
Where seldom is heard a peaceable word
From the white trash who killed as they came
Though these words dig deep, they offer no relief
God save the queen, I am an Indian chief
There is a secret I keep, it's called the talking leaf
And you better believe that he speaks his beliefs
Like a rock that bleeds a sea of grief
My talking leaf speaks of a wounded knee creek
American ghost dance
American ghost dance
American ghost dance
American ghost dance
A new man who is with old ways
He walks the streets of life, but he's in chains
I'm alive he cried, I can feel the flame
Burning red inside, I am an Indian brave
There is a memory, uh huh, that lives in my blood
Of the brand you laid on all you touched
But the burning flame, it turns to burning pain
Genuine genocide and that's truly insane
So like a wild hurricane, I will dance on the grave
Of my race that died when it should have been saved
American ghost dance
American ghost dance
American ghost dance
American ghost dance
Oh give me a home where the buffalo roam
And the death of a race is a game
Where seldom is heard a peaceable word
From the white trash who killed as they came
Though these words dig deep, they offer no relief
God save the queen, I am an Indian chief
There is a secret I keep, it's called the talking leaf
And you better believe that he speaks his beliefs
Like a rock that bleeds a sea of grief
My talking leaf speaks of a wounded knee creek
American ghost dance
American ghost dance
American ghost dance
American ghost dance
American ghost dance
American ghost dance
American ghost dance
American ghost dance
American ghost dance
"
If You Want Me To Stay;Freaky Styley;1985;;"If you want me to stay
I'll be around today
To be available for you to see
I'm about to go there
Then you'll know
For me to stay here
I've got to be me
You'll never be in doubt
That's what it's all about
You can't take me for granted and smile
Count the days I'm gone
Forget reachin' me by phone
'Cause I promise
I'll be gone for a while
And when you see me again
I hope that you have been
The kind of person
That you really are now
You got to get it straight
How could I ever be late
When you're my woman
Taking up my time
Oh how could I ever allow
I guess I wonder how
I could get out a pocket for fun, oh oh
When you know that you're never number two
Number one is gonna be number one
I'll be good, I wish I could
Get this message over to you now
When you see me again
I hope that you have been
The kind of person
That you really are now
I'll be so good
I wish I could
Get this message over to you now
Get this message over to you now
I'll be so good
I wish I could
"
Nevermind;Freaky Styley;1985;;"You're in the middle of June in the summer of '59, I was young and cool, shot a bad game of pool, and I hustled all the chumps I could find. Now they call me the swan 'cause I wave my magic wand and I loved all the women to death. I partied hard, packed a mean rod, and I'll knock you out with a right or left
Nevermind the Pack Jam
Nevermind the Gap Band
Nevermind the Zapp Band
Nevermind the funk scam
'Cause we're Red Hot Chili Peppers
Nevermind the British bands
Nevermind the synth funk bands
Nevermind the Wham Wham band
Nevermind Duran Duran
'Cause we're Red Hot Chili Peppers
Nevermind the Soft Cell shit
That's strictly for the twits
Nevermind the Men At Work
Those tunes are for the jerks
'Cause we're Red Hot Chili Peppers
Nevermind Hall and Oates
Those guys are a couple of goats
Nevermind the Culture Club
That jive's just one big flub
'Cause we're Red Hot Chili Peppers
"
Freaky Styley;Freaky Styley;1985;;"Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Say it out loud
I'm freaky styley and I'm proud
Say it out loud
I'm freaky styley and I'm proud
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
Fuck 'em just to see that look on their face
I'm freaky styley and I'm proud
"
Blackeyed Blonde;Freaky Styley;1985;;"Pumpin' the blood through the heart of New Orleans
She's the mystic heat of the Bourbon Street dream
She's just made out of flesh and bones
But let me tell you little boy, you better leave her alone
Leroy Brown thought he was bad too
'Till she left him floatin' in the old bayou
She's the kind of girl, she's built like a bomb
She's the blackeyed, blackeyed
Blackeyed blonde, get down
Uh-huh, blackeyed pea
She black
She blonde
That blackeyed beauty with the golden crotch
French electric sex a cock shocking swamp fox
Heathen queen of sleaze she's hot to box
But let me tell you little boy, she'll clean your clock
A slick and sly spy, stuck in the muck of the moat
Blew his mind to find a diamond in the boat
Double-o-dooms day for Mr. James Bond
She's the blackeyed, blackeyed
Blackeyed blonde, get down!
Uh-huh, blackeyed pea
She black
She blonde
"
The Brothers Cup;Freaky Styley;1985;;"Give it up to this planet full of strife
We're the brothers cup cuttin' sharp as a knife
With the pop of a snap and the flip of a flap
The cups went up like a natural fact
It was our shoulder space
That made the perfect place
For the magic of the cup
To style out with grace
With a tight turn twist
And a slight swerve swank
The brothers cup kissed
With a kick ass clank
We are the brothers cup
We like to get it up
We are the brothers cup
We like to get it up
Give it up to this planet full of strife
We're the brothers cup cuttin' sharp as a knife
With the pop of a snap and the flip of a flap
The cups went up like a natural fact
So love all your brothers
And love all your sisters
Love all the misses
And love all the misters
Don't be shy when you're sharin' your kisses
The brothers cup kiss
And we ain't sissies
We are the brothers cup
We are the brothers cup
Get it?
Good
Good
Alright
Keep it, keep it
It is our notion that the perfect peace potion
Can be found in the wake of the green sea's motion
The long rocking swell of the mighty blue ocean
Is the cradle of peace it's the perfect peace potion
Give it up to this planet full of strife
We're the brothers cup cuttin' sharp as a knife
With the power of the cup we are about to astound
All your preconceptions they will come unbound
We're the brothers cup coming to your town
Bringing tubs of love we're going to spread it around
We are the brothers cup
We are the brothers cup
We are the brothers cup
We like to get it up
We are the brothers cup
We like to get it up
We are the brothers cup
We like to get it up
We are the brothers cup
We like to get it up
"
Battle Ship;Freaky Styley;1985;;"Three miles off the coast of Beirut
New Jersey's guns get ready to shoot
Take a walk down the firing room
Fire one it's shakedown cruise, yeah
Blow job park
Blow job park
See the sailor boys dressed in blue
Cheer the chance to make the news
Send the shell down the spiral groove
Bombs away it's a shakedown cruise, yeah
Blow job park
Blow job park
Three miles off the coast of Beirut
New Jersey's guns get ready to shoot
Take a walk down the firing room
Fire one it's shakedown cruise, yeah
Blow job park
Blow job park
"
Lovin' And Touchin';Freaky Styley;1985;;"Loving and touching and
Laughing and squeezing and
Walking and joking and
Smiling and teasing
Hugging and kissing
And rubbing and scrubbing
And styling and slumming
And rolling and cumming
I'll hold you a lifetime
I'll love you forever
I'll make you my wife
And I'll never forget you
I'll give you my smile
On the face of your child
I will give you my love
I will give you my love
Lovin' and touching and
Loving and touching and
Loving and touching and
Loving and touching and
Love
"
Catholic School Girls Rule;Freaky Styley;1985;;"Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
In the class, she's taking notes
Just how deep, deep is my throat
Mother Mary, don't you know
She's got eyes like Marilyn Monroe
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
From the cross, she's raised her head
This is what the sister said
""Give no love until you wed
Live no life until you're dead""
The good books says we must suppress
The good books says we must confess
But who cares what the good books says
'Cause now she's taking off her dress
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Catholic school girls rule
Lead us not into temptation
We are pure divine creation
Talking about my generation
Injected with the seed of emasculation
Catholic
"
Sex Rap;Freaky Styley;1985;;"Time to swing a little melody
To make you all feel something sexually
And now we're going to get it on in the groove
The groove that makes those smooth hips move
We are pumping that driving bad rhythm
To make those pretty little pussy lips schism
Kissum kissum kissum
In the mind is one design
To make you feel fine
Sucking on mine with a 69
I'm inclined to fuck, fuck, fuck, fuck your brains out
Make her moan, make her groan and make her shout
Push it all in and pull it all out
Pump that labia 'till it pouts
Open your legs to the sensual sound
Let the booty bustin' beat pound your pretty wet mound
I can tell you're like a horny bloodhound
Feel the bass, hump the ground
As you're droppin' to your knees and I come unbound
And now you make your mouth to get on down
Our lustful notes will boil your blood
When they slither and slide on under your hood
Makin' me shoot my power packed pud
Like a wild lady loving a viable stud
Causing what is known as a juicy wet pud
Getting it getting it getting' it good
In my head, as a jellified hum
I take to rubbing her on the bum
Adjust the lips some on the tongue
With my thumb I strum her plum
Start to make her orgasm
Tastes a little bit like oozing hot cum
Well I like to make her cum
To the rhythm of the drums
Make her cum, make her cum, cum
"
Thirty Dirty Birds;Freaky Styley;1985;;"Thirty dirty birds
Sitting on a curb
Chirping and burping
And eating dirty earthworms
Along comes Herbie
From thirty-third
And third
Saw the thirty dirty birds
Sitting on a curb
Chirping and burping
And eating
Dirty earthworms
Oy, he was disturbed
"
Yertle The Turtle;Freaky Styley;1985;;"Look at that turtle go, bro
On a far away island of Salamasond
Yertle the turtle was king of the pond
A nice little pond, it was clean it was neat
The water was warm, there was plenty to eat
Until one day the king of them all
Decided the kingdom he ruled was too small
I'm a ruler of all that I see
But I don't see enough and that's the trouble with me
With this stone for a throne, I am too low down
I cannot look down upon the places beyond
So Yertle the turtle king lifted his hand
And Yertle the turtle king gave a command
He ordered all the turtles onto one another's back
He piled them high into a ten turtle stack
I'm Yertle the turtle, the things I now rule
I'm king of a cow, I'm king of a mule
Look at that turtle go, bro
Then down from below
In the great turtle stack
Came a burp from a plain
Little turtle named Mack
Just part of the throne
This burping' little turtle
Looked up and said ""I beg
Your pardon king Yertle""
I've pains in my back
My shoulders and my knees
How long must we stand
Here your majesty
""Silence!"" the king of the turtles barked back
To the bad burping little turtle named Mack
I'm Yertle the turtle, oh marvelous me
For I am ruler of all that I see
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Wow!
Look at that turtle go, bro
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Yertle, Yertle the turtle
Yertle, Yertle the turtle
"
Nevermind (Demo);Freaky Styley;1985;;"You're in the middle of June in the summer of '59, I was young and cool, shot a bad game of pool, and I hustled all the chumps I could find. Now they call me the swan 'cause I wave my magic wand and I loved all the women to death. I partied hard, packed a mean rod, and I'll knock you out with a right or left
Nevermind the Pack Jam
Nevermind the Gap Band
Nevermind the Zapp Band
Nevermind the funk scam
'Cause we're Red Hot Chili Peppers
Nevermind the British bands
Nevermind the synth funk bands
Nevermind the Wham Wham band
Nevermind Duran Duran
'Cause we're Red Hot Chili Peppers
Nevermind the Soft Cell shit
That's strictly for the twits
Nevermind the Men At Work
Those tunes are for the jerks
'Cause we're Red Hot Chili Peppers
Nevermind Hall and Oates
Those guys are a couple of goats
Nevermind the Culture Club
That jive's just one big flub
'Cause we're Red Hot Chili Peppers
"
Sex Rap (Demo);Freaky Styley;1985;;"Time to swing a little melody
To make you all feel something sexually
And now we're going to get it on in the groove
The groove that makes those smooth hips move
We are pumping that driving bad rhythm
To make those pretty little pussy lips schism
Kissum kissum kissum
In the mind is one design
To make you feel fine
Sucking on mine with a 69
I'm inclined to fuck, fuck, fuck, fuck your brains out
Make her moan, make her groan and make her shout
Push it all in and pull it all out
Pump that labia 'till it pouts
Open your legs to the sensual sound
Let the booty bustin' beat pound your pretty wet mound
I can tell you're like a horny bloodhound
Feel the bass, hump the ground
As you're droppin' to your knees and I come unbound
And now you make your mouth to get on down
Our lustful notes will boil your blood
When they slither and slide on under your hood
Makin' me shoot my power packed pud
Like a wild lady loving a viable stud
Causing what is known as a juicy wet pud
Getting it getting it getting' it good
In my head, as a jellified hum
I take to rubbing her on the bum
Adjust the lips some on the tongue
With my thumb I strum her plum
Start to make her orgasm
Tastes a little bit like oozing hot cum
Well I like to make her cum
To the rhythm of the drums
Make her cum, make her cum, cum
"
Freaky Styley (Original Long Version);Freaky Styley;1985;Instrumental;error
